symbol,tier,sector,reported_date,report_time,earnings_source,reported_eps,estimated_eps,surprise_percentage,day0_date,day0_close,pre_earnings_momentum_pct,drift_5d_pct,drift_10d_pct,spy_drift_5d_pct,spy_drift_10d_pct,abnormal_drift_5d_pct,abnormal_drift_10d_pct,drift_20d_pct,spy_drift_20d_pct,abnormal_drift_20d_pct,volume_spike_ratio,volatility_change_ratio
AAPL,large,Tech,2006-10-18,post-market,alpha_vantage,0.02,0.02,0.0,2006-10-19,2.82,4.83,4.26,0.0,1.44,-0.02,2.82,0.02,8.51,2.61,5.9,2.2,0.89
AAPL,large,Tech,2007-01-17,post-market,alpha_vantage,0.04,0.03,33.3333,2007-01-18,3.18,-8.09,-3.14,-4.72,-0.2,1.45,-2.94,-6.17,-4.4,2.29,-6.69,1.91,0.33
AAPL,large,Tech,2007-04-25,post-market,alpha_vantage,0.03,0.02,50.0,2007-04-26,3.53,9.63,1.7,8.5,0.47,-0.05,1.23,8.55,11.9,0.94,10.96,2.74,0.76
AAPL,large,Tech,2007-07-25,post-market,alpha_vantage,0.03,0.03,0.0,2007-07-26,5.21,4.2,-6.53,-13.44,-0.28,-1.78,-6.25,-11.66,-10.17,-1.01,-9.16,2.1,1.36
AAPL,large,Tech,2007-10-22,post-market,alpha_vantage,0.04,0.03,33.3333,2007-10-23,6.65,9.74,0.45,3.01,0.86,0.2,-0.41,2.81,-9.32,-4.69,-4.63,1.83,0.76
AAPL,large,Tech,2008-01-22,post-market,alpha_vantage,0.06,0.06,0.0,2008-01-23,4.97,-17.72,-5.03,-12.27,0.78,-0.61,-5.81,-11.66,-12.68,0.69,-13.37,2.47,0.76
AAPL,large,Tech,2008-04-23,post-market,alpha_vantage,0.0425,0.0375,13.3333,2008-04-24,6.03,9.24,6.63,9.62,2.02,0.61,4.61,9.01,4.81,0.86,3.95,1.72,0.56
AAPL,large,Tech,2008-07-21,post-market,alpha_vantage,0.0425,0.0375,13.3333,2008-07-22,5.79,-4.46,-3.11,-0.86,-0.94,0.69,-2.17,-1.55,7.08,-0.38,7.46,2.21,1.23
AAPL,large,Tech,2008-10-21,post-market,alpha_vantage,0.045,0.04,12.5,2008-10-22,3.46,-1.14,7.8,6.65,2.69,6.12,5.11,0.53,-10.98,-10.08,-0.9,1.28,0.7
AAPL,large,Tech,2009-01-21,post-market,alpha_vantage,0.0625,0.05,25.0,2009-01-22,3.16,3.61,5.06,8.86,2.18,2.2,2.88,6.66,3.16,-6.44,9.6,1.66,0.63
AAPL,large,Tech,2009-04-22,post-market,alpha_vantage,0.0475,0.04,18.75,2009-04-23,4.48,3.23,0.22,2.9,2.4,6.43,-2.18,-3.53,-1.12,4.5,-5.62,1.68,0.77
AAPL,large,Tech,2009-07-21,post-market,alpha_vantage,0.0475,0.0425,11.7647,2009-07-22,5.6,6.67,2.14,5.36,2.2,5.09,-0.06,0.27,5.0,4.62,0.38,1.7,0.45
AAPL,large,Tech,2009-10-19,post-market,alpha_vantage,0.065,0.05,30.0,2009-10-20,7.1,4.57,-0.7,-5.07,-2.55,-4.18,1.85,-0.89,4.08,1.95,2.13,2.47,1.84
AAPL,large,Tech,2010-01-25,post-market,alpha_vantage,0.13,0.075,73.3333,2010-01-26,7.35,-4.3,-4.9,-4.63,0.98,-1.91,-5.88,-2.72,-2.45,1.38,-3.83,3.24,1.13
AAPL,large,Tech,2010-04-20,post-market,alpha_vantage,0.12,0.0875,37.1429,2010-04-21,9.26,5.59,0.86,-1.3,-1.06,-3.18,1.92,1.88,-4.21,-7.38,3.17,1.85,2.62
AAPL,large,Tech,2010-07-20,post-market,alpha_vantage,0.125,0.11,13.6364,2010-07-21,9.08,0.55,2.64,3.41,3.51,5.51,-0.87,-2.1,-0.44,2.54,-2.98,1.49,0.63
AAPL,large,Tech,2010-10-18,post-market,alpha_vantage,0.165,0.145,13.7931,2010-10-19,11.05,3.66,-0.45,0.0,1.7,2.35,-2.15,-2.35,-2.53,1.23,-3.76,1.96,0.64
AAPL,large,Tech,2011-01-18,post-market,alpha_vantage,0.23,0.1925,19.4805,2011-01-19,12.1,-0.82,1.49,1.65,1.11,1.75,0.38,-0.1,7.19,4.37,2.82,3.08,1.89
AAPL,large,Tech,2011-04-20,post-market,alpha_vantage,0.2275,0.1925,18.1818,2011-04-21,12.52,5.48,-0.16,-1.12,1.98,0.31,-2.14,-1.43,-4.39,-0.13,-4.26,1.82,0.67
AAPL,large,Tech,2011-07-19,post-market,alpha_vantage,0.2775,0.2075,33.7349,2011-07-20,13.82,8.05,1.45,1.45,-1.55,-4.89,3.0,6.34,-1.66,-9.79,8.13,2.11,1.11
AAPL,large,Tech,2011-10-18,post-market,alpha_vantage,0.2525,0.265,-4.717,2011-10-19,14.24,-0.84,0.49,-0.35,2.62,2.36,-2.13,-2.71,-3.51,2.44,-5.95,1.64,0.77
AAPL,large,Tech,2012-01-24,post-market,alpha_vantage,0.495,0.3625,36.5517,2012-01-25,15.95,4.04,2.13,6.71,-0.07,1.98,2.2,4.73,15.61,3.07,12.54,3.38,0.7
AAPL,large,Tech,2012-04-24,post-market,alpha_vantage,0.44,0.3575,23.0769,2012-04-25,21.79,0.28,-3.95,-6.7,0.81,-2.48,-4.76,-4.22,-6.47,-4.97,-1.5,1.14,0.59
AAPL,large,Tech,2012-07-24,post-market,alpha_vantage,0.3325,0.37,-10.1351,2012-07-25,20.53,-5.17,5.55,7.84,2.71,4.87,2.84,2.97,16.37,5.87,10.5,2.32,0.98
AAPL,large,Tech,2012-10-25,post-market,alpha_vantage,0.31,0.3125,-0.8,2012-10-26,21.57,-0.96,-3.48,-10.11,1.14,-2.52,-4.62,-7.59,-3.48,0.08,-3.56,1.83,1.1
AAPL,large,Tech,2013-01-23,post-market,alpha_vantage,0.4925,0.48,2.6042,2013-01-24,16.09,-10.96,1.12,3.92,0.19,1.04,0.93,2.88,0.06,1.66,-1.6,2.83,0.92
AAPL,large,Tech,2013-04-23,post-market,alpha_vantage,0.36,0.3575,0.6993,2013-04-24,14.48,0.63,8.36,14.43,0.25,3.46,8.11,10.97,8.84,5.1,3.74,2.26,0.68
AAPL,large,Tech,2013-07-23,post-market,alpha_vantage,0.2675,0.2625,1.9048,2013-07-24,15.73,2.34,2.73,5.59,0.11,0.39,2.62,5.2,14.05,-2.35,16.4,1.9,0.7
AAPL,large,Tech,2013-10-28,post-market,alpha_vantage,0.295,0.285,3.5088,2013-10-29,18.45,-0.65,1.73,0.65,-0.51,-0.12,2.24,0.77,3.25,1.98,1.27,1.93,1.08
AAPL,large,Tech,2014-01-27,post-market,alpha_vantage,0.5175,0.5025,2.9851,2014-01-28,18.09,-7.75,0.44,5.8,-2.06,1.63,2.5,4.17,2.16,3.23,-1.07,3.14,0.69
AAPL,large,Tech,2014-04-23,post-market,alpha_vantage,0.415,0.365,13.6986,2014-04-24,20.28,9.39,4.14,3.55,0.27,-0.08,3.87,3.63,6.95,0.94,6.01,3.22,1.62
AAPL,large,Tech,2014-07-22,post-market,alpha_vantage,0.32,0.3075,4.065,2014-07-23,24.3,2.53,0.99,-2.3,-0.84,-3.31,1.83,1.01,3.46,0.14,3.32,2.09,1.1
AAPL,large,Tech,2014-10-20,post-market,alpha_vantage,0.355,0.3275,8.3969,2014-10-21,25.62,3.77,4.18,5.97,2.24,3.61,1.94,2.36,12.69,5.92,6.77,1.51,0.52
AAPL,large,Tech,2015-01-27,post-market,alpha_vantage,0.765,0.65,17.6923,2015-01-28,28.83,5.26,3.68,8.29,1.96,3.39,1.72,4.9,13.08,5.62,7.46,2.69,0.73
AAPL,large,Tech,2015-04-27,post-market,alpha_vantage,0.5825,0.54,7.8704,2015-04-28,32.64,2.87,-3.65,-3.58,-1.2,-0.69,-2.45,-2.89,1.13,0.6,0.53,2.9,1.54
AAPL,large,Tech,2015-07-21,post-market,alpha_vantage,0.4625,0.4525,2.2099,2015-07-22,31.31,-1.26,-1.79,-7.86,-0.28,-0.62,-1.51,-7.24,-8.18,-1.44,-6.74,2.53,0.9
AAPL,large,Tech,2015-10-27,post-market,alpha_vantage,0.49,0.47,4.2553,2015-10-28,29.82,4.85,2.28,-2.65,0.67,-0.58,1.61,-2.07,-1.04,0.18,-1.22,1.72,0.91
AAPL,large,Tech,2016-01-26,post-market,alpha_vantage,0.82,0.8075,1.548,2016-01-27,23.36,-3.47,3.13,0.9,1.69,-1.52,1.44,2.42,3.55,3.94,-0.39,2.34,0.84
AAPL,large,Tech,2016-04-26,post-market,alpha_vantage,0.475,0.5,-5.0,2016-04-27,24.46,-8.66,-3.72,-5.44,-2.07,-1.36,-1.65,-4.08,1.84,-0.03,1.87,3.38,1.06
AAPL,large,Tech,2016-07-26,post-market,alpha_vantage,0.355,0.345,2.8986,2016-07-27,25.74,3.0,2.76,4.9,-0.16,0.52,2.92,4.38,4.93,0.61,4.32,2.89,1.2
AAPL,large,Tech,2016-10-25,post-market,alpha_vantage,0.4175,0.415,0.6024,2016-10-26,28.9,-1.3,-3.46,-4.08,-1.87,1.24,-1.59,-5.32,-3.77,3.26,-7.03,2.12,1.44
AAPL,large,Tech,2017-01-31,post-market,alpha_vantage,0.84,0.8025,4.6729,2017-02-01,32.19,5.64,2.55,5.25,0.71,3.21,1.84,2.04,7.92,4.68,3.24,3.98,0.95
AAPL,large,Tech,2017-05-02,post-market,alpha_vantage,0.525,0.505,3.9604,2017-05-03,36.77,2.37,4.22,2.15,0.58,-1.12,3.64,3.27,4.16,2.05,2.11,2.11,2.19
AAPL,large,Tech,2017-08-01,post-market,alpha_vantage,0.4175,0.3925,6.3694,2017-08-02,39.28,2.37,2.52,2.44,-0.08,-0.2,2.6,2.64,3.97,-0.58,4.55,3.16,1.97
AAPL,large,Tech,2017-11-02,post-market,alpha_vantage,0.5175,0.4675,10.6952,2017-11-03,43.13,5.81,1.25,-1.37,-0.14,-0.23,1.39,-1.14,-1.58,2.2,-3.78,2.36,0.75
AAPL,large,Tech,2018-02-01,post-market,alpha_vantage,0.9725,0.965,0.7772,2018-02-02,40.13,-6.41,-2.57,7.43,-5.06,-0.85,2.49,8.28,10.17,-1.18,11.35,2.66,2.79
AAPL,large,Tech,2018-05-01,post-market,alpha_vantage,0.6825,0.6725,1.487,2018-05-02,44.14,7.9,6.12,6.59,2.39,3.43,3.73,3.16,5.85,2.94,2.91,2.04,0.8
AAPL,large,Tech,2018-07-31,post-market,alpha_vantage,0.585,0.545,7.3394,2018-08-01,50.38,3.43,2.84,4.33,1.64,0.33,1.2,4.0,10.66,3.78,6.88,3.61,1.07
AAPL,large,Tech,2018-11-01,post-market,alpha_vantage,0.73,0.7,4.2857,2018-11-02,51.87,-4.09,-1.45,-6.73,2.16,0.68,-3.61,-7.41,-10.91,2.73,-13.64,2.47,1.18
AAPL,large,Tech,2019-01-29,post-market,alpha_vantage,1.05,1.04,0.9615,2019-01-30,41.31,7.35,5.45,3.0,1.93,2.77,3.52,0.23,4.79,4.15,0.64,1.61,0.46
AAPL,large,Tech,2019-04-30,post-market,alpha_vantage,0.62,0.59,5.0847,2019-05-01,52.63,1.62,-3.61,-9.31,-1.47,-2.31,-2.14,-7.0,-15.3,-4.38,-10.92,2.71,2.4
AAPL,large,Tech,2019-07-30,post-market,alpha_vantage,0.55,0.53,3.7736,2019-07-31,53.26,2.09,-6.57,-4.83,-3.18,-4.55,-3.39,-0.28,-3.53,-2.87,-0.66,3.67,2.79
AAPL,large,Tech,2019-10-30,post-market,alpha_vantage,0.76,0.71,7.0423,2019-10-31,62.19,2.12,4.29,5.58,1.6,2.05,2.69,3.53,7.43,3.62,3.81,1.35,0.8
AAPL,large,Tech,2020-01-28,post-market,alpha_vantage,1.25,1.14,9.6491,2020-01-29,81.08,2.08,-0.89,0.89,1.91,3.31,-2.8,-2.42,-15.66,-8.91,-6.75,1.64,1.52
AAPL,large,Tech,2020-04-30,post-market,alpha_vantage,0.64,0.56,14.2857,2020-05-01,72.27,2.16,7.28,6.45,3.41,1.23,3.87,5.22,11.33,8.05,3.28,1.56,0.42
AAPL,large,Tech,2020-07-30,post-market,alpha_vantage,0.65,0.51,27.451,2020-07-31,106.26,14.73,4.56,8.14,2.47,3.16,2.09,4.98,17.46,7.37,10.09,2.95,1.28
AAPL,large,Tech,2020-10-29,post-market,alpha_vantage,0.73,0.7,4.2857,2020-10-30,108.86,-5.37,9.03,9.55,7.23,9.66,1.8,-0.11,9.36,10.88,-1.52,1.47,0.77
AAPL,large,Tech,2021-01-27,post-market,alpha_vantage,1.68,1.42,18.3099,2021-01-28,137.09,0.16,0.22,-1.43,2.27,3.46,-2.05,-4.89,-11.55,0.72,-12.27,1.27,0.81
AAPL,large,Tech,2021-04-28,post-market,alpha_vantage,1.4,0.98,42.8571,2021-04-29,133.48,1.17,-2.8,-6.38,-0.24,-2.33,-2.56,-4.05,-6.14,-0.18,-5.96,1.73,1.35
AAPL,large,Tech,2021-07-27,post-market,alpha_vantage,1.3,1.01,28.7129,2021-07-28,144.98,-0.29,1.36,0.61,0.03,1.13,1.33,-0.52,2.33,2.3,0.03,1.32,0.37
AAPL,large,Tech,2021-10-28,post-market,alpha_vantage,1.24,1.24,0.0,2021-10-29,149.8,0.75,0.99,0.13,2.02,1.75,-1.03,-1.62,6.97,1.16,5.81,1.74,0.85
AAPL,large,Tech,2022-01-27,post-market,alpha_vantage,2.1,1.89,11.1111,2022-01-28,170.33,4.88,1.21,-0.99,1.53,-0.34,-0.32,-0.65,-3.06,-1.2,-1.86,1.86,1.29
AAPL,large,Tech,2022-04-28,post-market,alpha_vantage,1.52,1.43,6.2937,2022-04-29,157.65,-2.56,-0.23,-6.69,-0.16,-2.5,-0.07,-4.19,-5.08,0.79,-5.87,1.59,1.66
AAPL,large,Tech,2022-07-28,post-market,alpha_vantage,1.2,1.15,4.3478,2022-07-29,162.51,5.46,1.75,5.9,0.36,3.67,1.39,2.23,0.68,-1.62,2.3,1.41,1.05
AAPL,large,Tech,2022-10-27,post-market,alpha_vantage,1.29,1.27,1.5748,2022-10-28,155.74,5.75,-11.15,-3.88,-3.26,2.44,-7.89,-6.32,-7.4,1.77,-9.17,1.9,1.68
AAPL,large,Tech,2023-02-02,post-market,alpha_vantage,1.88,1.95,-3.5897,2023-02-03,154.5,5.87,-2.26,-1.26,-1.05,-1.23,-1.21,-0.03,-0.43,-1.91,1.48,2.15,0.98
AAPL,large,Tech,2023-05-04,post-market,alpha_vantage,1.52,1.43,6.2937,2023-05-05,173.57,2.29,-0.58,0.92,-0.25,1.45,-0.33,-0.53,3.46,3.51,-0.05,2.14,0.58
AAPL,large,Tech,2023-08-03,post-market,alpha_vantage,1.26,1.19,5.8824,2023-08-04,181.99,-7.07,-2.31,-4.12,-0.26,-2.31,-2.05,-1.81,4.1,0.98,3.12,2.27,1.04
AAPL,large,Tech,2023-11-02,post-market,alpha_vantage,1.46,1.39,5.036,2023-11-03,176.65,5.01,5.52,7.38,1.36,3.7,4.16,3.68,7.23,5.06,2.17,1.45,0.8
AAPL,large,Tech,2024-02-01,post-market,alpha_vantage,2.18,2.11,3.3175,2024-02-02,185.85,-3.41,1.61,-1.9,1.39,1.04,0.22,-2.94,-5.78,3.63,-9.41,1.85,0.54
AAPL,large,Tech,2024-05-02,post-market,alpha_vantage,1.53,1.5,2.0,2024-05-03,183.38,8.32,-0.18,3.54,1.87,3.55,-2.05,-0.01,5.81,3.23,2.58,2.73,0.52
AAPL,large,Tech,2024-08-01,post-market,alpha_vantage,1.4,1.34,4.4776,2024-08-02,219.86,0.87,-1.65,2.82,0.02,4.02,-1.67,-1.2,4.16,5.78,-1.62,1.99,1.31
AAPL,large,Tech,2024-10-31,post-market,alpha_vantage,0.97,0.95,2.1053,2024-11-01,222.91,-3.67,1.82,0.94,4.75,2.58,-2.93,-1.64,7.48,5.71,1.77,1.63,0.87
AAPL,large,Tech,2025-01-30,post-market,alpha_vantage,2.4,2.34,2.5641,2025-01-31,236.0,5.93,-3.55,3.64,-0.17,1.31,-3.38,2.33,0.86,-3.0,3.86,1.78,1.01
AAPL,large,Tech,2025-05-01,post-market,alpha_vantage,1.65,1.62,1.8519,2025-05-02,205.35,-1.88,-3.32,2.88,-0.43,4.84,-2.89,-1.96,-1.78,4.58,-6.36,1.27,0.46
AAPL,large,Tech,2025-07-31,post-market,alpha_vantage,1.57,1.43,9.7902,2025-08-01,202.38,-5.38,13.33,14.43,2.49,3.49,10.84,10.94,14.71,3.75,10.96,2.24,2.85
AAPL,large,Tech,2025-10-30,post-market,alpha_vantage,1.85,1.77,4.5198,2025-10-31,270.37,2.87,-0.7,0.75,-1.63,-1.49,0.93,2.24,4.71,-0.26,4.97,1.87,0.52
AAPL,large,Tech,2026-01-29,post-market,alpha_vantage,2.84,2.67,6.367,2026-01-30,259.48,4.61,7.18,-1.43,-0.2,-1.48,7.38,0.05,2.02,-0.81,2.83,1.9,1.98
AAPL,large,Tech,2026-04-30,post-market,alpha_vantage,2.01,1.94,3.6082,2026-05-01,280.14,3.35,4.7,7.17,2.35,2.57,2.35,4.6,9.34,5.26,4.08,1.84,0.76
AMD,large,Tech,2006-10-18,post-market,alpha_vantage,0.23,0.23,0.0,2006-10-19,21.01,-14.9,2.33,-0.76,1.44,-0.02,0.89,-0.74,3.47,2.61,0.86,4.25,0.95
AMD,large,Tech,2007-01-23,post-market,alpha_vantage,-0.04,0.12,-133.3333,2007-01-24,16.03,-11.92,-2.99,-3.31,-0.14,0.88,-2.85,-4.19,-9.3,1.33,-10.63,3.06,0.49
AMD,large,Tech,2007-04-19,post-market,alpha_vantage,-0.9,-0.43,-109.3023,2007-04-20,14.16,4.35,1.13,-4.45,0.61,1.55,0.52,-6.0,10.1,2.69,7.41,2.03,1.07
AMD,large,Tech,2007-07-19,post-market,alpha_vantage,-0.92,-0.79,-16.4557,2007-07-20,15.5,0.45,-10.52,-17.1,-5.47,-6.32,-5.05,-10.78,-23.29,-5.73,-17.56,1.63,1.06
AMD,large,Tech,2007-10-18,post-market,alpha_vantage,-0.49,-0.61,19.6721,2007-10-19,13.8,-1.0,-6.59,-4.57,2.64,1.02,-9.23,-5.59,-8.41,-2.59,-5.82,2.1,1.43
AMD,large,Tech,2008-01-17,post-market,alpha_vantage,-0.17,-0.33,48.4848,2008-01-18,7.07,13.12,5.52,12.02,2.41,4.36,3.11,7.66,-8.06,2.62,-10.68,1.78,1.03
AMD,large,Tech,2008-04-17,post-market,alpha_vantage,-0.51,-0.47,-8.5106,2008-04-18,6.11,1.66,-0.82,0.82,0.81,2.19,-1.63,-1.37,18.82,3.02,15.8,1.37,0.74
AMD,large,Tech,2008-07-17,post-market,alpha_vantage,-0.6,-0.52,-15.3846,2008-07-18,4.65,-3.93,-6.24,-7.96,-0.4,0.14,-5.84,-8.1,21.29,3.33,17.96,2.05,0.89
AMD,large,Tech,2008-10-16,post-market,alpha_vantage,-0.18,-0.39,53.8462,2008-10-17,4.21,10.5,-28.03,-16.86,-6.62,3.88,-21.41,-20.74,-42.28,-7.07,-35.21,1.37,0.87
AMD,large,Tech,2009-01-22,post-market,alpha_vantage,-0.69,-0.56,-23.2143,2009-01-23,2.07,-8.41,5.8,16.43,-0.34,4.66,6.14,11.77,-2.42,-10.18,7.76,1.93,0.63
AMD,large,Tech,2009-04-21,post-market,alpha_vantage,-0.62,-0.63,1.5873,2009-04-22,3.33,-3.2,5.41,29.43,3.37,8.99,2.04,20.44,35.14,7.06,28.08,1.37,0.8
AMD,large,Tech,2009-07-21,post-market,alpha_vantage,-0.62,-0.51,-21.5686,2009-07-22,3.55,-8.03,4.51,5.63,2.2,5.09,2.31,0.54,-0.85,4.62,-5.47,3.01,0.58
AMD,large,Tech,2009-10-15,post-market,alpha_vantage,-0.18,-0.45,60.0,2009-10-16,5.74,-2.38,-2.44,-19.86,-0.74,-4.89,-1.7,-14.97,13.76,0.67,13.09,2.01,1.05
AMD,large,Tech,2010-01-21,post-market,alpha_vantage,-0.08,-0.05,-60.0,2010-01-22,7.88,-12.44,-5.33,-6.73,-1.67,-2.33,-3.66,-4.4,0.25,1.79,-1.54,3.06,1.84
AMD,large,Tech,2010-04-15,post-market,alpha_vantage,0.06,-0.07,185.7143,2010-04-16,9.81,5.48,-0.51,-7.54,2.05,-0.46,-2.56,-7.08,-10.3,-4.58,-5.72,3.69,1.34
AMD,large,Tech,2010-07-15,post-market,alpha_vantage,0.11,0.06,83.3333,2010-07-16,7.37,0.41,6.11,1.63,3.52,3.38,2.59,-1.75,-11.94,1.55,-13.49,2.53,1.12
AMD,large,Tech,2010-10-14,post-market,alpha_vantage,0.15,0.08,87.5,2010-10-15,7.12,0.99,-3.23,3.02,0.55,0.67,-3.78,2.35,7.16,2.12,5.04,1.19,1.21
AMD,large,Tech,2011-01-20,post-market,alpha_vantage,0.14,0.11,27.2727,2011-01-21,7.54,-8.72,-0.66,11.41,-0.51,2.17,-0.15,9.24,21.75,4.8,16.95,2.82,0.99
AMD,large,Tech,2011-04-21,post-market,alpha_vantage,0.08,0.05,60.0,2011-04-25,8.7,5.2,3.79,2.76,1.93,0.81,1.86,1.95,-2.41,-1.18,-1.23,1.27,0.65
AMD,large,Tech,2011-07-21,post-market,alpha_vantage,0.09,0.08,12.5,2011-07-22,7.75,20.53,-5.29,-15.35,-3.9,-10.77,-1.39,-4.58,-22.84,-16.3,-6.54,3.86,1.24
AMD,large,Tech,2011-10-27,post-market,alpha_vantage,0.15,0.1,50.0,2011-10-28,5.94,25.85,-4.55,0.17,-2.43,-1.51,-2.12,1.68,-10.77,-6.91,-3.86,2.12,1.08
AMD,large,Tech,2012-01-24,post-market,alpha_vantage,0.19,0.16,18.75,2012-01-25,6.73,12.73,2.53,7.73,-0.07,1.98,2.6,5.75,8.32,3.07,5.25,2.72,0.93
AMD,large,Tech,2012-04-19,post-market,alpha_vantage,0.12,0.09,33.3333,2012-04-20,7.76,0.39,-5.54,-7.47,1.77,-0.69,-7.31,-6.78,-22.55,-5.95,-16.6,2.86,1.27
AMD,large,Tech,2012-07-19,post-market,alpha_vantage,0.06,0.07,-14.2857,2012-07-20,4.22,-13.88,-3.08,-3.08,1.62,2.11,-4.7,-5.19,-2.84,4.18,-7.02,2.89,0.45
AMD,large,Tech,2012-10-18,post-market,alpha_vantage,-0.2,-0.16,-25.0,2012-10-19,2.18,-20.44,-5.05,-5.05,-1.42,-0.3,-3.63,-4.75,-13.76,-2.93,-10.83,4.15,0.62
AMD,large,Tech,2013-01-22,post-market,alpha_vantage,-0.14,-0.21,33.3333,2013-01-23,2.73,1.87,-2.93,-4.76,0.47,1.2,-3.4,-5.96,-4.76,0.7,-5.46,2.88,0.59
AMD,large,Tech,2013-04-18,post-market,alpha_vantage,-0.13,-0.17,23.5294,2013-04-19,2.47,-0.4,6.88,45.75,1.78,3.79,5.1,41.96,64.78,7.37,57.41,1.58,1.11
AMD,large,Tech,2013-07-18,post-market,alpha_vantage,-0.09,-0.12,25.0,2013-07-19,4.03,-6.71,-5.21,-5.71,-0.04,1.05,-5.17,-6.76,-9.18,-1.97,-7.21,5.35,0.77
AMD,large,Tech,2013-10-17,post-market,alpha_vantage,0.04,0.02,100.0,2013-10-18,3.53,-7.83,-5.38,-6.23,0.89,1.04,-6.27,-7.27,-0.85,3.25,-4.1,3.52,1.43
AMD,large,Tech,2014-01-21,post-market,alpha_vantage,0.06,0.06,0.0,2014-01-22,3.67,-14.65,-5.18,-9.81,-3.77,-4.95,-1.41,-4.86,0.54,-0.11,0.65,3.0,1.06
AMD,large,Tech,2014-04-17,post-market,alpha_vantage,0.02,0.01,100.0,2014-04-21,4.12,12.88,-3.88,-0.73,-0.09,0.74,-3.79,-1.47,-0.73,0.91,-1.64,5.07,1.28
AMD,large,Tech,2014-07-17,post-market,alpha_vantage,0.02,0.03,-33.3333,2014-07-18,3.83,-12.36,-1.83,3.66,0.01,-2.64,-1.84,6.3,7.83,-1.01,8.84,3.57,0.49
AMD,large,Tech,2014-10-16,post-market,alpha_vantage,0.03,0.04,-25.0,2014-10-17,2.72,0.0,-1.47,2.94,4.22,7.0,-5.69,-4.06,-4.04,8.37,-12.41,2.6,0.86
AMD,large,Tech,2015-01-20,post-market,alpha_vantage,-0.09,0.01,-1000.0,2015-01-21,2.45,-7.89,7.35,16.33,-1.45,0.48,8.8,15.85,24.69,3.4,21.29,3.32,1.26
AMD,large,Tech,2015-04-16,post-market,alpha_vantage,-0.09,-0.06,-50.0,2015-04-17,2.575,-6.7,-10.68,-10.29,1.78,1.33,-12.46,-11.62,-9.9,2.16,-12.06,4.45,1.06
AMD,large,Tech,2015-07-16,post-market,alpha_vantage,-0.17,-0.16,-6.25,2015-07-17,1.79,-8.67,-6.7,7.82,-2.11,-0.93,-4.59,8.75,2.79,-1.44,4.23,1.13,1.14
AMD,large,Tech,2015-10-15,post-market,alpha_vantage,-0.17,-0.12,-41.6667,2015-10-16,1.94,-1.02,13.92,9.28,2.09,2.29,11.83,6.99,2.58,-0.36,2.94,2.41,0.88
AMD,large,Tech,2016-01-19,post-market,alpha_vantage,-0.1,-0.1,0.0,2016-01-20,1.8,-24.69,18.33,15.0,1.34,3.04,16.99,11.96,6.11,3.47,2.64,1.56,1.23
AMD,large,Tech,2016-04-21,post-market,alpha_vantage,-0.12,-0.13,7.6923,2016-04-22,3.99,47.78,-11.03,-7.77,-1.26,-1.56,-9.77,-6.21,-3.01,-1.67,-1.34,13.94,2.03
AMD,large,Tech,2016-07-21,post-market,alpha_vantage,-0.05,-0.09,44.4444,2016-07-22,5.84,13.62,17.47,13.18,-0.06,0.43,17.53,12.75,30.48,0.6,29.88,4.11,1.59
AMD,large,Tech,2016-10-20,post-market,alpha_vantage,0.03,0.004,650.0,2016-10-21,6.52,-3.41,10.43,0.61,-0.67,-2.54,11.1,3.15,33.59,2.11,31.48,1.85,1.59
AMD,large,Tech,2017-01-31,post-market,alpha_vantage,-0.01,-0.02,50.0,2017-02-01,12.06,16.52,12.44,10.28,0.71,3.21,11.73,7.07,15.26,4.68,10.58,3.78,1.55
AMD,large,Tech,2017-05-01,post-market,alpha_vantage,-0.04,-0.04,0.0,2017-05-02,10.32,-23.5,-1.36,23.55,0.28,0.55,-1.64,23.0,8.43,1.12,7.31,5.31,1.56
AMD,large,Tech,2017-07-25,post-market,alpha_vantage,0.02,0.0003,6566.6667,2017-07-26,14.76,8.93,-9.42,-13.08,0.0,-0.07,-9.42,-13.01,-15.45,-1.16,-14.29,3.09,0.57
AMD,large,Tech,2017-10-24,post-market,alpha_vantage,0.1,0.08,25.0,2017-10-25,12.33,-12.37,-12.41,-5.03,0.86,1.5,-13.27,-6.53,-7.79,1.75,-9.54,3.7,2.46
AMD,large,Tech,2018-01-30,post-market,alpha_vantage,0.08,0.05,60.0,2018-01-31,13.74,8.1,-15.57,-11.21,-5.05,-4.37,-10.52,-6.84,-13.39,-5.04,-8.35,2.36,1.24
AMD,large,Tech,2018-04-25,post-market,alpha_vantage,0.11,0.09,22.2222,2018-04-26,11.04,9.2,-1.0,9.87,-1.39,2.14,0.39,7.73,21.47,2.44,19.03,2.89,0.68
AMD,large,Tech,2018-07-25,post-market,alpha_vantage,0.14,0.13,7.6923,2018-07-26,18.35,9.81,2.4,4.09,-0.34,0.61,2.74,3.48,21.47,0.86,20.61,3.97,1.37
AMD,large,Tech,2018-10-24,post-market,alpha_vantage,0.13,0.12,8.3333,2018-10-25,19.27,-27.61,4.93,10.02,1.27,3.86,3.66,6.16,0.57,-2.53,3.1,1.65,1.16
AMD,large,Tech,2019-01-29,post-market,alpha_vantage,0.08,0.08,0.0,2019-01-30,23.09,16.62,0.74,-1.04,1.93,2.77,-1.19,-3.81,1.91,4.15,-2.24,2.11,0.48
